"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene474",-1.64,0.3,0.14,-0.55,0.74,-0.01,1.07,-0.1,1.13,-0.41,-0.32,-0.08,-1.13,0.85,-0.5,-2,-0.72,2.1,-0.94,1.94,0.13,1.26,-0.82,0.96,1.01
"gene475",-2.09,-1.93,-1.18,2.15,-1.21,1.4,0.87,1.35,-0.23,0.79,-0.22,-1.01,-1.88,0.3,-0.41,-1.27,-1.22,0.19,-0.69,1.49,-1.43,-1.28,-1.01,1.5,-0.46
"gene476",0.31,-0.35,-0.61,-1.11,1.52,0.09,-0.04,0.26,-1.97,0.65,-1.31,0.56,-0.68,2.17,0.56,0.91,0.49,0.62,-0.08,-1.43,-1.12,1.51,-0.17,-0.72,0.39
"gene477",-0.63,-0.21,-0.97,-1.32,-0.56,-1.22,0.18,-0.86,1.08,-0.67,1.46,-0.37,-0.16,0.13,0.61,-0.87,-1.37,-0.42,0.85,-0.99,-0.78,-0.01,-2.48,0.04,0.3
"gene478",-0.24,0.22,1.61,0.66,0.83,0.27,1.23,1.01,0.38,-0.13,-1.64,-0.3,1.12,-1.47,-1.61,-0.79,0.03,0.63,0.13,-0.09,-0.08,-0.3,-0.44,0.39,2.4
"gene479",1.62,1.6,0.57,-0.52,1.25,0.95,-0.87,1.51,0.62,0.19,1.26,0.99,0.26,-1.74,-0.64,-1.27,-0.27,-1.48,-0.44,-0.02,-0.53,-0.24,-0.77,-0.3,-2.51
"gene480",0.34,0.44,-0.64,1.04,-1.87,0.38,0.16,1.33,0.88,0.93,1.19,-0.36,-0.19,1.63,-2.41,-0.6,0.13,-0.42,-0.43,-0.36,0.97,-0.53,-0.38,1.26,-0.87
"gene481",-0.77,-0.29,0.65,1.41,0.25,0.96,0.14,-1.88,2.71,0.35,1.07,0.01,0.36,-0.26,0.25,1.47,2.38,1.43,-0.21,1.04,0.87,2.17,1.06,-1.39,0.76
"gene482",0.37,1.4,3.83,0.27,0.63,0.51,1.16,-0.3,-1.47,0.02,-1.3,-0.42,0.43,0.23,-2.21,2.33,1.77,1.34,0.99,-1.28,0.71,1.41,0.75,-0.43,-0.47
"gene483",-1.22,0.42,0.04,0.98,0.19,-0.58,-0.67,0.77,0.1,-1.27,0.75,-1.23,-1.04,0.82,2.26,1.48,1.17,-0.86,-0.39,-1.45,1.09,0.75,2.12,0.09,0.42
"gene484",-1.74,1,0.98,-0.19,0.47,0.41,-0.81,-1.62,-0.04,0.95,-0.38,0.61,-1.14,-0.94,-0.11,-0.03,1,1.47,-0.88,-1.85,0.99,0.6,0.54,-0.67,1.82
"gene485",-0.99,0.32,1.2,-0.05,0.32,0.11,-1.27,0.47,0.57,0.29,-0.14,-0.42,-1.08,-0.09,0.12,0.84,1,-0.88,1.63,-0.36,-0.76,-0.34,0.84,0.72,0.67
"gene486",-0.48,-0.94,1.3,0,-1.83,-0.08,0.94,-1.08,-1.15,0.35,-0.16,-0.35,1.66,0.23,1.1,-1.2,-0.17,-0.36,1.04,-1.86,0.71,-1.28,-0.12,1.27,-0.81
"gene487",-1.76,0.65,-2.01,-0.19,0.15,-1.16,-0.82,-0.59,2.06,-0.47,-1.12,-0.52,-0.28,-1.91,0.96,-0.5,0.35,-0.71,-0.35,0.75,-0.64,-0.62,-1.12,-0.66,0.92
"gene488",0.45,-1.71,1.06,-0.7,0.21,2.52,0.48,-1.65,0.34,0.06,-0.24,-1.62,-0.27,-0.18,0.07,0.61,-0.16,0.44,-0.98,1.57,0.42,-0.35,0.86,0.86,-1.04
"gene489",-1.52,1.39,1.55,0.84,1.08,0.98,0.34,0.72,-0.27,0.88,0.01,1.44,-0.81,-1.28,0.96,1.17,-0.07,0.08,-0.14,0.18,1.32,0.92,1.81,-0.53,-0.04
"gene490",1.83,0.04,-0.74,0.21,1.25,1.65,1.69,1.58,0.39,-0.53,0.63,-1.23,-0.31,-0.76,-0.08,0.73,-0.66,-0.86,0.75,1.93,0.82,1.45,-0.36,-0.94,0.28
"gene491",-0.16,-2.48,0.06,-0.23,0.61,-1.2,1.26,1,-0.13,-1.29,-1.68,-1.22,-1.41,0.11,1.15,-0.13,-0.44,-0.8,-0.91,-1.42,-1.85,0.56,-1.01,0.54,-0.15
"gene492",0.5,-0.93,-0.76,-0.44,-1.19,1.42,0.09,-0.63,-1.43,1.1,0.48,-0.54,0.85,-0.25,1.31,0.02,-0.76,-1.06,-0.1,1.83,1.24,-0.79,0.18,-1.35,-0.47
"gene493",-2.49,-0.14,0.72,0.68,0.69,1.07,-1.34,-0.46,1.56,-0.53,0.13,-0.9,0.51,-1.2,-0.1,-0.65,-0.32,0.08,1.03,-1.15,0.71,-0.88,-0.45,1.09,0.61
"gene494",-0.85,-0.1,0.33,1.03,0.55,1,0.06,-0.35,-0.66,-1.07,-0.78,0.44,0.08,0.66,0.66,-0.15,-0.81,-3.13,-1.05,1.4,-0.29,0.16,-0.79,0.38,-0.45
"gene495",-1.33,0.73,-0.22,0.71,-1.53,-0.26,-1.18,1.53,0.19,0.29,-0.71,-0.93,-0.39,-1.19,-0.24,0.99,-0.11,-1.44,0.6,0.24,-1.47,-0.53,0.89,0.63,-0.09
"gene496",0.31,0.61,-1.01,-1.22,-0.26,1.32,-0.41,-0.55,-0.02,1.78,0.44,-0.74,0.21,0.85,-0.23,-0.03,2.41,-0.67,0.09,-1.08,0.74,-1.23,0.08,0.56,0.95
"gene497",2.18,-1.59,0.32,1.36,1.04,0.06,-0.43,2.71,0.58,0.06,-0.39,-1.79,0.1,0.3,1.3,0.26,-0.1,0.16,0.45,-0.03,0.84,-0.09,-0.33,0.26,0.35
"gene498",0.62,0.44,0.35,-0.41,0.51,-1.06,0.28,0.74,-0.82,-0.53,-0.1,-0.06,-2.07,-0.27,-0.12,-0.29,0.82,-1.61,-0.79,0.56,-0.24,0.82,-0.7,-1.84,-1.43
"gene499",0.31,0.29,1.02,-0.01,-0.76,-0.21,-0.87,0.82,0.78,1.27,-0.59,-0.82,0.69,0.69,0.74,-0.74,1.72,0.82,-0.2,-0.88,1.36,-0.69,0.22,-1.49,-0.45
"gene500",0.85,-0.03,-0.09,1.08,1.54,0.21,0.27,-0.26,-0.15,0.05,-2.87,0.05,1.33,-2.26,0.06,1.54,0.7,0.21,0.4,-0.74,-1.42,-1.31,0.08,0.93,-0.28
"gene501",-0.42,1.24,0.48,0.22,-1.77,-0.96,-0.53,0.56,-0.34,1.03,-1.08,0.52,-0.17,0.87,0.64,1.2,2.51,0.79,-0.09,-1.92,0.68,0.96,-0.02,1.06,-0.49
"gene502",-0.88,1.08,-1,-0.29,-0.81,-0.58,1.66,1.81,-0.4,0.12,-1.87,-0.58,0,0.55,0.88,2.02,0.3,-1.15,-0.38,0.19,0.95,-0.16,1.84,0.64,0.74
"gene503",2.37,-0.08,-1.71,1.24,-0.48,-0.49,0.29,1.52,-1.35,0.7,0.03,0.15,-1.28,-1.17,1.52,1.11,1.29,0.39,0.64,-0.33,1.14,-0.46,0.41,-0.86,-1.76
"gene504",2.44,1.48,2,2.3,2.11,0.73,1.94,3.15,2.84,2.06,0.9,1.69,2.03,1.05,2.88,3.1,0.89,1.07,2.76,1.47,3.2,1.6,1.33,2.12,2.28
"gene505",-1.1,-0.43,1.28,-0.58,-0.67,-1.76,0.27,-0.91,1.24,-0.73,0.7,1.4,0.8,1.01,0.29,-0.01,0.98,-0.57,-0.01,-0.45,0.26,0.43,-0.69,0.35,-0.46
"gene506",1.54,1.59,-0.15,0.53,1.24,0.2,0.97,-0.66,0.25,-1.12,-0.49,0.28,0.31,0.03,0.45,1.16,-1.32,1.1,-1.1,0.93,-0.04,-0.3,-0.83,2.78,-1.09
"gene507",0.11,-0.83,-0.92,-0.35,1.46,-1.1,0.59,-0.32,1.88,-1.45,-1.39,1.29,0.25,-0.65,1.42,-0.49,-0.28,-0.5,0.25,2.13,-0.3,-1.56,0.01,-0.82,-1.25
"gene508",1.98,-0.6,2.65,-0.3,-1.65,-0.79,0.79,-0.48,-0.6,-1.15,0.74,0.2,-0.32,-0.2,0.82,-0.07,1.74,-0.65,-0.02,1.53,0.13,-1.25,1.32,0.04,-1.03
"gene509",1.23,-0.32,-0.03,-0.3,0.84,1.27,0.93,0.94,0.55,0.69,-0.3,0.25,-0.04,0.18,-0.87,1.41,-0.68,-0.43,0.43,0.31,1.47,1.49,1.95,-0.28,0.48
"gene510",0.62,1.64,0.18,1.56,-1.42,-0.18,0.2,-0.04,0.29,0.46,0.11,-0.81,-1.75,1.08,-0.03,1.28,0.54,2.37,0.54,-2.28,-0.44,-1.42,-1.3,-1.97,-0.05
"gene511",0.33,1.45,0.94,-1.32,-0.39,-0.62,0.67,0.73,1.56,-0.95,0.17,-1.35,-1.25,-0.52,0.27,-2.09,-1.45,-1.52,-1.47,1,-0.7,0.34,-0.32,0.58,0.64
"gene512",0.72,-1.2,0.17,0.48,-0.79,1.9,-0.42,0.02,1.01,-0.05,-1.43,1.08,-0.88,0.3,-0.76,0.14,-0.21,2.02,0.23,0.74,1.57,-0.96,0.38,1.21,-2.07
"gene513",-0.34,-2.46,0.98,-0.84,0.7,0.21,-0.42,-0.73,-0.4,-1.12,1.24,0.38,-0.75,1.53,0.17,1.51,-0.04,-0.06,0.55,-0.1,-0.47,-0.09,1.63,1.06,1.46
"gene514",0.23,1.47,0.68,0.75,1.28,-0.25,2.23,1.23,1.36,-0.14,-1.31,-0.54,-2,2.01,-0.26,0.46,-0.33,-0.17,-0.65,0.4,0.16,0.02,-0.9,-0.18,-1.2
"gene515",-1.31,-1.56,-1.57,2.44,-0.99,-0.68,-1.07,0.5,0.89,0.99,0.93,0.95,0.15,-0.03,0.01,0.59,-0.24,1.13,1.32,-1.95,-0.9,1.55,-0.85,3.18,-0.9
"gene516",-0.7,-1.17,-0.06,-0.94,-1.61,0.31,-0.5,0,1.23,-0.8,-0.79,-1.72,0.08,-1.58,1.3,-0.19,0.95,-0.06,0.95,-1.36,-0.52,-0.53,-0.23,-1.77,0.33
"gene517",-1.64,-0.4,-0.57,0.7,0.06,-0.54,0.33,-0.12,-0.21,1.26,0.13,0.65,-0.35,-1.1,-0.79,-0.21,-0.08,-0.17,1.92,-0.34,1.93,-0.29,-0.05,0.29,0.11
"gene518",-0.46,1.56,-2.18,-1.41,-0.9,2.09,0.13,0.45,-1.01,0.63,1.59,0.82,-0.86,0.51,0.14,-0.92,1.57,0.98,1.41,-0.85,-0.55,0.33,-1.46,-0.07,-0.38
"gene519",0.29,-1.53,-0.19,1.28,0.45,-1.28,-0.91,-0.62,-0.02,0.01,-1.64,0.46,0.05,0.76,-0.9,-0.93,-0.68,-1.11,-0.35,-1.07,0.09,-1.37,-1.03,-0.92,0.28
"gene520",1.91,0.71,-0.01,0.94,0.42,0.17,0.26,1.14,0.18,-0.63,0.39,-0.32,0.33,0.28,0.75,-0.83,-0.56,-0.51,0.73,2.92,-0.98,-0.23,-1.25,-0.44,-1.75
"gene521",1.02,-0.21,-1.47,-1.59,-1.57,-1.21,-0.28,2.1,-0.82,-1.12,1.17,-0.99,0.12,-0.09,0.52,-0.76,0.77,1.58,-0.95,-0.48,0.94,0.69,-0.07,1.49,-0.38
"gene522",0.39,1.09,0.51,-0.13,0.32,0.15,-0.3,-1.01,-1.46,0.4,-0.54,-0.72,-0.46,0.14,0.13,1.94,-2.96,0.44,0.59,1.46,-1.76,-0.91,-0.03,0.03,0.21
"gene523",-0.22,0.75,0.17,-1.77,0.99,-0.82,0.82,1.45,-1.81,-0.73,-0.6,0.74,0.73,-0.34,0.94,-2.74,-2.65,-0.07,-1.21,-0.74,-0.16,0.08,-0.43,0.8,-1.71
"gene524",-0.48,-0.13,2.9,-0.82,2.24,0.27,-0.05,3.3,-0.41,0.29,1.52,1.14,0.77,0.12,-0.54,0.23,-0.24,-0.67,0.12,0.49,0.41,-0.72,-2.45,0.13,-0.9
"gene525",0.29,-0.23,1.6,-0.8,-0.5,-0.33,-0.29,-2.4,0.01,1.69,-0.7,-0.24,-0.82,0.11,0.07,2.09,0.58,-1.57,0.05,-0.1,1.35,1.25,-2.59,0.35,-0.72
"gene526",-0.57,-0.08,1.25,1.03,0.48,-0.15,1.97,0.18,0.45,0.1,0.88,-2.04,-0.94,-0.78,-1.94,1.58,-0.19,-0.04,2.78,-0.53,0.17,0.78,0.02,-2.61,-1.28
"gene527",-1.23,0.75,0.56,0.91,0.68,0.35,-0.07,1.53,-0.57,0.66,0.89,0.23,0.39,0.98,0.33,0.52,0,-1.6,0.31,-2.78,1.5,2.5,2.21,1.14,-0.34
"gene528",0.5,0.64,0.53,0.92,0.05,1.39,0.53,1.64,0.98,0.07,-0.27,-0.88,0.99,-1,0.51,0.4,-0.69,2.02,-1.37,-0.05,1.15,-0.2,-0.89,-0.73,1.5
"gene529",0.28,0.08,-1.68,0.42,-0.58,-1.16,-0.03,0.47,-0.29,1.19,-1.94,-0.69,-0.29,1.39,1.2,-0.99,1.31,-0.13,-0.22,-0.11,0.67,-1.05,-0.79,1.56,0.74
"gene530",-1.01,-1.18,-0.73,0.59,0,-2.29,0.97,-1.81,0.45,-2.29,-0.53,-1.03,-0.94,-0.45,0.42,-0.37,-0.01,-0.55,-0.61,-1.84,-1.28,0.06,0.01,-0.52,-0.22
"gene531",-0.15,-0.55,1.7,0.71,-0.22,-0.48,-0.69,1.65,-0.27,0.88,0.55,0.52,-0.21,1.08,1.54,1.26,0.82,0.52,-0.62,-1.13,0.69,0.43,0.8,0.18,-1.07
"gene532",0.19,1.28,0.84,1.09,0.08,-1.98,-0.65,1.07,0.84,-0.03,0.02,0.77,0.07,0.2,1.73,1.13,-0.04,1.74,-1.47,-1.21,0.12,0.57,0.28,-1.4,-1.31
"gene533",0.08,-2.78,-0.91,-0.61,-1.7,0.32,-1.17,0.97,-0.7,0.57,-0.38,0,-0.32,-0.04,1.86,0.48,-1.63,-0.38,0.02,-0.73,3.25,-0.37,-1.16,-0.33,-0.24
"gene534",2.23,-0.63,1.4,-0.18,-0.87,0.65,-0.42,-1.59,-0.48,0.32,0.71,1.06,0.48,-0.44,-0.72,-1.85,-1.84,-0.36,-0.68,0.52,0.91,-0.07,0.37,-1.8,-0.06
"gene535",0.75,0.93,-1.55,1.76,1.18,0.55,1.43,0.33,0.05,0.14,-0.09,1.25,-0.07,0.5,0.06,0.41,0.48,-0.26,0.39,-0.73,0.41,-0.73,-1.12,0.11,0.83
"gene536",-0.72,1.02,-0.21,-1.01,-0.19,-1.52,0.23,1.28,0.69,-2.69,1.8,0.21,-0.22,-1.41,-0.25,-1.08,-0.31,0.14,0.67,0.07,0.43,-1.84,-0.59,0.03,0.54
"gene537",1.39,-1.03,-2.41,-0.24,1.41,1.01,0.16,-0.67,0.44,1.32,-1.5,-0.09,-1.25,0.98,0.92,-0.48,-1.08,-0.6,0.82,-1.31,-0.84,0.93,1.35,1.11,1.08
"gene538",0.63,-1.23,0.8,-0.53,0.75,0.26,-0.05,0.16,1.09,0.51,0.83,-0.54,-0.07,0.1,-0.11,-0.47,0.3,-0.85,-0.55,-0.56,2.09,1.1,-1.14,-0.18,1.64
"gene539",0.08,-1.43,1.22,0.53,-0.91,1.58,1.04,-1.28,-1.81,0.24,-1.42,-0.13,-0.43,1.22,-0.29,0.19,1.07,1.48,0.31,-0.61,-1.35,-1.89,0.69,-1.32,0.54
"gene540",0.03,-0.39,1.98,0.86,0.16,0.39,1.01,-0.22,-0.24,-0.56,0.03,0.27,-0.06,0.09,0.68,0.16,1.94,0.22,-1.41,0.13,-0.34,2.5,0.16,0.87,1.11
"gene541",0.07,0.47,-0.44,-0.39,1.26,1.28,-0.3,-0.85,-1.12,0.39,-1.36,-0.68,1.3,0.06,-2.38,0.13,-3.05,1.05,-0.92,0.85,-0.67,-1.84,-0.2,-0.26,-1.13
"gene542",-0.34,0.4,-0.82,0.74,2.81,-2.27,-1.45,-2.39,0.08,-0.12,1.15,0.84,0.86,-0.95,-0.56,-0.34,-0.93,-0.53,-0.52,-0.51,-0.75,0.85,-1.09,-0.11,-0.36
"gene543",0.05,-1.41,-0.75,0.07,-0.42,1.83,0.13,-0.06,0.46,-2.12,1.1,0.44,0.33,-1.65,0.62,-0.94,-0.87,1.09,-1.01,-0.58,0.41,0.8,-1.17,-0.46,1.38
"gene544",0.53,-1.6,2.14,0.79,-0.7,1.99,1.7,0.26,-1.1,-0.92,0.4,0.99,-1.12,-0.05,-0.67,1.68,-0.28,-0.44,0.46,-0.28,-2.03,1.03,-1.15,-1.3,-1.17
"gene545",-0.57,-1.35,0.76,0.57,0.79,-0.08,2.31,-0.45,0.57,0.12,-0.29,0.99,-0.76,-0.31,-0.26,0.35,2.83,-0.66,1.63,-0.53,1.55,-0.47,1.2,1.28,0.38
"gene546",0.13,0.87,-1.02,-0.26,-1.44,2.48,-0.03,0.97,0.07,-0.2,1.75,-0.01,0.47,-0.22,1.38,0.25,-0.44,-1.34,-0.17,-0.4,1.21,-0.46,0.63,-0.61,-1.83
"gene547",0.2,-0.47,-0.7,-0.5,0.9,-0.11,-0.22,0.1,1.29,0.9,1.36,-0.23,-0.68,1.35,-0.23,-0.49,0.95,0.63,2.52,0.72,-0.29,0.4,0.17,0.41,-0.03
"gene548",1.31,1.21,-0.76,-0.66,-0.06,-1.85,-0.12,-0.73,-0.45,-0.43,-1.29,-0.19,0.69,-0.89,0.07,0.83,0.65,-1.11,0.93,0.78,-0.49,0.35,-0.87,-0.23,2.04
"gene549",-0.28,0.28,-0.36,-0.22,-0.64,0.8,-0.24,-1.69,-0.68,-1.37,-0.21,-0.29,0.63,-1.39,0.37,-0.49,0.27,-0.13,-0.59,0.03,1.1,1.52,0.43,-1.94,1.27
"gene550",2.92,0.34,-0.96,1.71,-0.45,0.76,0.03,-1.14,0.64,-1.59,-0.6,1,-1.14,0.4,0.27,0.67,0.25,-0.65,1.66,0.4,0.54,-0.89,-0.95,-1.31,-1.68
"gene551",0.8,-1.34,0.91,0.06,-1.69,0.61,-0.9,0.86,0.78,0.39,-1.34,-0.12,-0.99,-0.98,1.79,1.42,0.08,-0.79,0.5,0.58,-0.12,0.86,1.62,-0.54,0.23
"gene552",-0.99,1.71,-1.16,-0.26,-1.34,-0.44,0.93,1.23,-0.35,0.03,0.42,0.07,1.5,0.98,0.01,-1.74,-1.73,-1.1,-0.16,1.37,1.37,-0.2,-1.57,-1.37,0.6
"gene553",0.89,0.02,-0.71,0.4,0.05,-1,1.61,-0.38,-1.87,-1.46,-0.64,0.29,-1.6,-1.49,0.29,-0.54,0.76,1.87,-1.27,-0.24,0.27,-0.33,-0.03,-0.2,0.7
"gene554",0.92,0.13,-1.8,0.31,0.32,-1.79,0.71,0.53,0.22,0.37,0.75,0.26,-0.36,2.92,-1.75,0.37,0.69,-0.44,0.23,-0.89,1.6,-0.41,1.16,0.53,0.12
"gene555",1.08,-0.5,-1.92,1.29,-1.13,-0.51,-0.85,-0.72,1.32,0.08,0.13,-0.65,0.28,0.19,0.37,0.48,-0.1,0.3,-0.01,0.67,-0.64,0.33,0.67,0.46,-0.76
"gene556",-1.79,0.94,1.69,0.6,0.05,1.41,-0.56,0.78,-0.96,-1.03,-0.68,0.49,-0.55,-0.75,0.71,0.54,-0.54,0.21,0.38,-0.56,-0.63,1.73,-2.08,-0.06,1.12
"gene557",1.34,0.36,-1.15,0.65,-0.81,0.16,0.75,-0.39,1.15,1.58,0.01,0.74,0.3,-0.33,-0.53,-0.35,-1.03,0.22,0.9,0.51,-1.07,0.67,0.12,0.09,0.84
"gene558",0.33,-1.13,0.83,0.87,-0.09,0.28,1.77,0.53,-0.79,2.44,-0.82,0.45,0.65,-0.95,-3.57,0.34,1.2,-0.16,1.62,0.09,-0.42,0.11,-1.23,-1.27,0.1
"gene559",0.08,-1.07,-1.15,-0.21,0.26,1.02,-1.05,-0.02,0.35,-1.53,0.88,0.68,1.65,0.43,0.83,0.28,-1.42,-0.24,1.79,-1.09,0.5,-0.51,0.07,-0.86,0.06
"gene560",-1.37,1.09,-0.56,0.79,0.75,-0.09,-0.51,0.95,-0.57,0.57,-1.36,-1.11,0.2,-1.57,-0.48,-1.22,1,-1.37,-0.5,-1.24,-0.19,0.54,-0.6,2.27,0.4
"gene561",-0.87,-0.05,-1.02,-0.42,-0.22,2.49,-0.22,0.22,1.87,1.72,0.84,-0.44,1.56,0.87,0.3,-0.03,1.66,-0.74,0.79,-1.44,-0.81,-0.13,-0.47,1.16,-1.09
"gene562",1.45,-0.52,-1.26,-2.02,-0.43,0.16,-0.23,0.71,-0.19,1.37,1.33,-0.21,0.12,-0.23,-0.23,-0.66,0.57,-1.19,-0.77,1.18,-0.97,-1.28,0.07,0.69,-0.14
"gene563",1.75,-0.64,-0.31,0.42,0.29,1.51,-0.01,0.97,-2.16,0.65,-0.55,-0.29,-0.2,-0.02,0.16,1.21,-2.31,-0.5,-1.12,-0.21,-1.67,0.97,1.59,1.08,-0.57
"gene564",-2.12,0.69,0.56,-0.67,-1.13,0.17,0.93,-1.13,1.11,-1.07,0.52,-0.58,-0.68,0.78,0.92,-0.92,0.3,-1.49,0.41,-0.58,0.6,-0.75,-1.09,0.05,-1.37
"gene565",0.7,-0.13,-1.64,-0.01,0.62,0.6,0.41,1.64,-0.19,0.25,-0.68,-0.79,-0.29,-2.34,0.48,-0.35,-0.43,0.22,-2.51,0.59,1.38,-0.31,-0.58,0.85,1.96
"gene566",-1.09,-2.37,0.43,1.4,1.26,-0.38,0.6,1.35,-1.04,-1.6,1.19,-1.15,-1.52,-0.17,1.2,1.54,-0.03,-0.61,-1.35,1.79,-0.33,2.07,-1.07,-1.95,-0.67
"gene567",0.79,-0.13,0.47,-1.13,0.73,-0.06,0.16,0.29,0.14,1.39,1.01,0.12,-0.05,-0.11,-1.29,-0.83,0.53,-1.3,0.4,0.18,0.42,0.3,0.39,-0.7,-0.08
"gene568",1.28,-0.96,0.73,0.55,1.15,-1.02,-0.14,0.17,-0.9,0.91,-2.05,-1.29,-1.04,0.08,0.07,0.28,-1.11,-1.28,-0.77,1.5,-0.21,-1.44,0.52,1.53,-0.68
"gene569",1.32,0.76,1.89,1.76,-0.48,-0.94,0.94,-1.41,0.52,-0.27,0.49,-0.75,-0.84,0.78,0.52,0.04,0.56,-0.46,-0.25,-0.96,0.82,-1.09,-0.27,-0.77,1.07
"gene570",0.44,-0.37,-0.5,0.78,0.16,0.85,0.09,-0.48,-0.09,0.78,0.36,-1.16,0.39,0.51,0.2,0.62,0.38,-0.4,1.11,0.62,0.42,-0.76,-0.12,-2.27,0.99
"gene571",0.07,0.26,-1.63,0.88,-0.59,-0.17,1.39,0.77,-0.55,-1.34,1.73,-0.56,0.43,0.21,1.04,0.36,1.27,0.66,-1.69,-1.31,-0.83,0.34,-0.74,0.46,0.44
"gene572",1.01,0.11,-0.1,0.47,0.9,0.5,-0.53,-1.25,-2.16,-0.56,-0.64,0.61,-0.33,1.16,0.43,1.65,-0.16,1.24,1.02,0.02,-0.39,1.29,-0.97,1.16,0.1
"gene573",-1.49,1.31,-0.86,-0.25,0.52,0.59,-0.05,0.63,-1.44,-2.15,1.71,0.03,0.67,0.28,0.53,-1.39,0.1,1.2,0.58,-0.43,-0.64,1.77,-0.27,0.32,0.83
"gene574",1.92,-0.43,-0.79,2.55,-0.35,0.14,0.78,-0.09,0.41,0.49,0.99,-0.06,-0.26,-2.29,0.59,0.54,-0.08,-0.31,-1.5,-0.06,-0.73,1.28,0.8,1.79,1.34
"gene575",-1.03,0.22,0.92,-0.27,-0.6,0.52,0.13,-0.49,1.61,-0.7,0.19,0.29,-1.95,-1.87,-0.22,0.23,0.75,0.92,0.44,-0.43,2.53,0.6,0.28,0.47,0.96
"gene576",0.5,-0.51,-0.1,0.27,0.37,1.16,2.68,0.44,1.66,-0.84,0.78,1.41,-0.83,0.44,0.01,-0.47,0.53,1.27,0.89,-1.66,-0.35,-0.22,0.22,-0.9,-0.98
"gene577",0.03,-2.29,1.26,-0.06,0.3,-0.78,0.13,-0.56,0.86,0.61,-0.31,-0.2,-0.01,0.78,1.54,0.06,0.16,0.24,0.41,0.94,-1.38,0.14,-0.33,-2.02,-1.26
"gene578",-0.67,-0.26,-1.77,0.59,-0.17,-1.23,1.5,-0.23,0.09,1.49,-1.13,1.67,-1.08,-0.1,0.67,0.3,-0.89,0.53,1.1,0.32,-0.91,-0.11,-1.1,0.02,-0.17
"gene579",-0.34,0.37,-0.2,-0.58,-2.28,0.85,-1.35,-0.21,1.27,-0.18,0.04,-2.88,0.51,-0.01,0.53,-0.38,-0.61,1.18,-0.76,-1.37,-0.74,1.79,0.43,0.47,-0.02
"gene580",-0.02,-0.14,0.93,0.68,-1.11,0.15,-0.85,0.24,0.45,-1.98,0.47,1.01,-0.31,-0.3,1.11,1.25,-0.26,0.3,0.4,-0.16,-0.27,-0.02,0.52,-0.03,-0.37
"gene581",0.08,0.42,-0.38,-0.8,-0.24,-0.05,-0.7,0.75,-2.95,-0.63,-1.15,-1.25,-1.49,-0.42,0.74,0.25,0.24,-1.42,-0.23,0.78,0.64,0.35,-0.85,-1,0.05
"gene582",0.41,0,0.38,-1.72,1.11,0.21,-0.58,1.13,-0.94,-0.48,-0.01,0.39,1.66,1.03,0.74,-1.4,0.26,-0.47,0.05,-0.03,0.17,-0.03,0.7,1.79,0.2
"gene583",-0.58,-1.24,-0.33,-0.82,-0.26,-1.94,-0.02,-0.54,-0.33,-0.68,0.98,-1.6,-0.72,2.1,-1.38,0.36,-0.63,0.53,0.53,-0.23,-0.03,-0.39,-0.08,-0.58,-0.59
"gene584",-0.11,-1.28,-0.58,-0.33,-2.37,0.65,0.62,-1.65,-0.23,-0.69,1.74,-1.01,-0.3,0.9,-0.42,0.66,-0.1,-1.33,0.2,0.31,1.52,0.19,0.94,0.21,-1.43
"gene585",0.3,-0.39,0.93,-0.03,0.36,0.53,-0.8,-1.25,-2.08,0.49,-0.33,-1.31,0.48,0.55,-1.48,-0.06,1.01,-0.82,-1.45,0.23,-1.37,-0.76,0.45,-1.15,0.74
"gene586",0.08,-1.07,1.23,-0.52,-1.2,0.23,-1.39,-1.05,0.25,-1.43,0.76,-0.8,-0.64,0.33,0.48,0.68,0.47,1.02,2.09,-1.04,1.27,-0.16,0.92,0.53,0.3
"gene587",-1.08,-0.92,1.24,1.51,1.39,-0.22,0.15,0.52,0.2,-0.55,1.16,-0.19,-2.58,-2.1,-1.07,0.41,0.59,0.93,-1.94,0.96,0.21,0.94,0.14,-0.79,1.54
"gene588",-0.53,0.03,0.55,-0.33,-0.12,0.67,-0.69,-0.98,-0.35,1.74,0.61,0.73,1.82,-0.06,-0.11,-0.25,-0.22,0.46,0.13,1.16,-1.97,-1.06,1.18,-1.98,-0.25
"gene589",-1.41,-1.09,-0.95,0.38,0.81,0.83,1.46,0.04,0.2,-0.54,0.74,0.44,-0.81,2.03,-0.35,-0.03,0.06,1.31,-1.68,0.22,-0.24,0.77,-0.11,0.24,-0.48
"gene590",-0.84,-0.38,-1.25,-2.48,0.65,-0.57,0.29,-0.51,0.6,-0.69,1.04,0.29,-0.54,0.55,-0.75,-0.66,0.89,-0.08,-0.06,0.22,0.79,0.41,1.79,0.48,0.5
"gene591",0.29,-1.73,1.78,0.87,0.55,0.38,-0.73,-1.43,1.37,0.18,1.25,-0.38,1.09,1.11,-0.99,0.65,-0.85,0.68,1.21,-0.91,-0.95,-0.13,-1.03,1.05,0.35
